.NET (Core) 5
File read & write test with 28,61 MB done in 02:24:22:825!




|Write (0,017 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|Buffer 131072 Chunk 131072 (229 times)|00:0107719|-84.71|00:0096810|-86.25|00:0092761|-86.83|00:0091289|-87.04|00:4926405|599.47|00:5282993|650.1|
|Buffer 131072 Chunk 262144 (115 times)|00:0103028|-85.37|00:0101255|-85.62|00:0089315|-87.32|00:0089379|-87.31|00:4212109|498.05|00:4629980|557.38|
|Buffer 262144 Chunk 1024 (29297 times)|00:0115740|-83.57|00:0117846|-83.27|00:0110039|-84.38|00:0108581|-84.58|00:4667376|562.69|00:4222663|499.55|
|Buffer 262144 Chunk 2048 (14649 times)|00:0109381|-84.47|00:0125692|-82.15|00:0131301|-81.36|00:0112316|-84.05|00:4426443|528.48|00:4629979|557.38|
|Buffer 262144 Chunk 4096 (7325 times)|00:0109646|-84.43|00:0125944|-82.12|00:0100335|-85.75|00:0100585|-85.72|00:4259584|504.79|00:4287419|508.74|
|Buffer 262144 Chunk 8192 (3663 times)|00:0107555|-84.73|00:0113764|-83.85|00:0100745|-85.7|00:0115623|-83.58|01:5587427|2113.16|00:4500674|539.02|
|Buffer 262144 Chunk 16384 (1832 times)|00:0119625|-83.02|00:0132055|-81.25|00:0107228|-84.78|00:0104135|-85.21|00:4222541|499.53|00:4812027|583.23|
|Buffer 262144 Chunk 32768 (916 times)|00:0129891|-81.56|00:0121654|-82.73|00:0110622|-84.29|00:0111899|-84.11|00:4363634|519.56|00:4327938|514.5|
|Buffer 262144 Chunk 65536 (458 times)|00:0121530|-82.74|00:0126806|-82|00:0111311|-84.2|00:0111224|-84.21|00:4571349|549.06|00:4334495|515.43|
|Buffer 262144 Chunk 131072 (229 times)|00:0121060|-82.81|00:0138147|-80.39|00:0114356|-83.76|00:0112076|-84.09|00:4735009|572.29|00:4555889|546.86|
|Buffer 262144 Chunk 262144 (115 times)|00:0102353|-85.47|00:0097864|-86.1|00:0101514|-85.59|00:0089100|-87.35|00:4111868|483.82|00:4066960|477.44|

