.NET Framework 4.7.2

|Read (0 MB on average))|None|%|SequentialScan|%|WriteThrough|%|SequentialScan, WriteThrough|%|-1610612736|%|-1476395008|%|
|Buffer 16384 Chunk 2048 (14649 times)|00:0176012|-74.62|00:0153401|-77.88|00:0131650|-81.02|00:0129587|-81.31|01:9668556|2736.01|02:0243042|2818.85|
|Buffer 16384 Chunk 4096 (7325 times)|00:0166984|-75.92|00:0164707|-76.25|00:0131048|-81.1|00:0148872|-78.53|01:9575320|2722.57|02:0296726|2826.59|
|Buffer 16384 Chunk 8192 (3663 times)|00:0148708|-78.56|00:0146924|-78.81|00:0139588|-79.87|00:0139218|-79.93|01:9353748|2690.62|01:9946322|2776.07|
|Buffer 16384 Chunk 16384 (1832 times)|00:0121383|-82.5|00:0132884|-80.84|00:0118400|-82.93|00:0117846|-83.01|01:7371380|2404.78|01:9408997|2698.59|
|Buffer 16384 Chunk 32768 (916 times)|00:0106796|-84.6|00:0115839|-83.3|00:0097844|-85.89|00:0101277|-85.4|01:0575039|1424.82|01:1242102|1521|
|Buffer 16384 Chunk 65536 (458 times)|00:0113628|-83.62|00:0100116|-85.56|00:0093709|-86.49|00:0094484|-86.38|00:7167205|933.44|00:6909359|896.26|
|Buffer 16384 Chunk 131072 (229 times)|00:0105392|-84.8|00:0107367|-84.52|00:0104622|-84.91|00:0090178|-87|00:5333732|669.07|00:4445751|541.03|
|Buffer 16384 Chunk 262144 (115 times)|00:0103179|-85.12|00:0122088|-82.4|00:0089060|-87.16|00:0089502|-87.09|00:4325676|523.72|00:4333690|524.88|
|Buffer 32768 Chunk 1024 (29297 times)|00:0133680|-80.72|00:0137655|-80.15|00:0113752|-83.6|00:0112508|-83.78|01:0917789|1474.24|01:0649102|1435.5|
|Buffer 32768 Chunk 2048 (14649 times)|00:0123125|-82.25|00:0122959|-82.27|00:0109581|-84.2|00:0110325|-84.09|01:0213768|1372.73|01:0778886|1454.21|
|Buffer 32768 Chunk 4096 (7325 times)|00:0121712|-82.45|00:0141624|-79.58|00:0107403|-84.51|00:0115719|-83.31|01:0982411|1483.56|01:0389579|1398.08|
|Buffer 32768 Chunk 8192 (3663 times)|00:0122575|-82.33|00:0127360|-81.64|00:0110052|-84.13|00:0108455|-84.36|01:0408285|1400.77|01:0260189|1379.42|
|Buffer 32768 Chunk 16384 (1832 times)|00:0141339|-79.62|00:0123296|-82.22|00:0112914|-83.72|00:0112361|-83.8|01:0889480|1470.16|01:0389807|1398.11|
|Buffer 32768 Chunk 32768 (916 times)|00:0111412|-83.94|00:0104938|-84.87|00:0098164|-85.85|00:0098853|-85.75|01:1500509|1558.26|01:0648962|1435.48|
|Buffer 32768 Chunk 65536 (458 times)|00:0111215|-83.96|00:0097307|-85.97|00:0089828|-87.05|00:0091797|-86.76|00:6778324|877.37|00:6634004|856.56|
|Buffer 32768 Chunk 131072 (229 times)|00:0109129|-84.26|00:0096516|-86.08|00:0090098|-87.01|00:0090107|-87.01|00:5445317|685.16|00:5444907|685.1|
|Buffer 32768 Chunk 262144 (115 times)|00:0102724|-85.19|00:0097799|-85.9|00:0089352|-87.12|00:0089313|-87.12|00:4555896|556.92|00:4222530|508.85|
|Buffer 65536 Chunk 1024 (29297 times)|00:0122606|-82.32|00:0123542|-82.19|00:0111746|-83.89|00:0113240|-83.67|00:7372037|962.98|00:7500591|981.51|
|Buffer 65536 Chunk 2048 (14649 times)|00:0111062|-83.99|00:0112538|-83.77|00:0101803|-85.32|00:0140636|-79.72|00:7185755|936.12|00:7333888|957.48|
|Buffer 65536 Chunk 4096 (7325 times)|00:0114104|-83.55|00:0112600|-83.76|00:0120944|-82.56|00:0105414|-84.8|00:7369408|962.6|00:6926603|898.75|
|Buffer 65536 Chunk 8192 (3663 times)|00:0128466|-81.48|00:0113916|-83.57|00:0110371|-84.09|00:0100059|-85.57|00:7463530|976.17|00:7315360|954.8|
|Buffer 65536 Chunk 16384 (1832 times)|00:0111689|-83.9|00:0136567|-80.31|00:0102985|-85.15|00:0103796|-85.03|00:7602648|996.23|00:7371442|962.89|
|Buffer 65536 Chunk 32768 (916 times)|00:0139050|-79.95|00:0121918|-82.42|00:0108653|-84.33|00:0108465|-84.36|00:7478885|978.38|00:7204416|938.81|
|Buffer 65536 Chunk 65536 (458 times)|00:0106862|-84.59|00:0107352|-84.52|00:0091362|-86.83|00:0089364|-87.11|00:7019172|912.1|00:6464219|832.08|
|Buffer 65536 Chunk 131072 (229 times)|00:0115923|-83.29|00:0102437|-85.23|00:0091817|-86.76|00:0089870|-87.04|00:5000321|621|00:5559597|701.64|
|Buffer 65536 Chunk 262144 (115 times)|00:0103637|-85.06|00:0106375|-84.66|00:0089192|-87.14|00:0089715|-87.06|00:4000956|476.9|00:3666946|428.74|
|Buffer 131072 Chunk 1024 (29297 times)|00:0121063|-82.54|00:0127318|-81.64|00:0117347|-83.08|00:0122188|-82.38|00:5111487|637.03|00:5089363|633.84|
|Buffer 131072 Chunk 2048 (14649 times)|00:0149190|-78.49|00:0129197|-81.37|00:0119499|-82.77|00:0099988|-85.58|00:5537468|698.45|00:5296752|663.74|
|Buffer 131072 Chunk 4096 (7325 times)|00:0126571|-81.75|00:0210308|-69.68|00:0100660|-85.49|00:0100026|-85.58|00:5185829|647.75|00:5278215|661.07|
|Buffer 131072 Chunk 8192 (3663 times)|00:0132316|-80.92|00:0106039|-84.71|00:0103369|-85.1|00:0099825|-85.61|00:5296879|663.76|00:5345311|670.74|
|Buffer 131072 Chunk 16384 (1832 times)|00:0122497|-82.34|00:0109103|-84.27|00:0101556|-85.36|00:0101693|-85.34|00:5558025|701.41|00:5333735|669.07|
|Buffer 131072 Chunk 32768 (916 times)|00:0119282|-82.8|00:0116874|-83.15|00:0109344|-84.23|00:0108636|-84.34|00:5130041|639.7|00:5111885|637.08|
|Buffer 131072 Chunk 65536 (458 times)|00:0117446|-83.07|00:0119189|-82.81|00:0106175|-84.69|00:0111384|-83.94|00:5000450|621.02|00:5000382|621.01|
|Buffer 131072 Chunk 131072 (229 times)|00:0103405|-85.09|00:0106219|-84.68|00:0089171|-87.14|00:0088898|-87.18|00:5445037|685.12|00:4555965|556.93|
|Buffer 131072 Chunk 262144 (115 times)|00:0099988|-85.58|00:0109130|-84.26|00:0089509|-87.09|00:0090150|-87|00:4223121|508.93|00:3889206|460.79|
|Buffer 262144 Chunk 1024 (29297 times)|00:0128566|-81.46|00:0129827|-81.28|00:0110933|-84|00:0113905|-83.58|00:4278049|516.85|00:4555892|556.92|
|Buffer 262144 Chunk 2048 (14649 times)|00:0135985|-80.39|00:0112966|-83.71|00:0102190|-85.27|00:0102505|-85.22|00:4741200|583.63|00:4334053|524.93|
|Buffer 262144 Chunk 4096 (7325 times)|00:0149724|-78.41|00:0113501|-83.63|00:0102378|-85.24|00:0102221|-85.26|00:4519056|551.6|00:4278218|516.88|
|Buffer 262144 Chunk 8192 (3663 times)|00:0109109|-84.27|00:0121094|-82.54|00:0114484|-83.49|00:0101345|-85.39|00:4473890|545.09|00:4555903|556.92|
|Buffer 262144 Chunk 16384 (1832 times)|00:0120591|-82.61|00:0111529|-83.92|00:0111746|-83.89|00:0102992|-85.15|00:4241265|511.55|00:4574497|559.6|
|Buffer 262144 Chunk 32768 (916 times)|00:0130964|-81.12|00:0127886|-81.56|00:0110684|-84.04|00:0112345|-83.8|00:4222548|508.85|00:4111705|492.87|
|Buffer 262144 Chunk 65536 (458 times)|00:0146943|-78.81|00:0119363|-82.79|00:0111466|-83.93|00:0111065|-83.99|00:4518851|551.57|00:4222994|508.91|
|Buffer 262144 Chunk 131072 (229 times)|00:0129267|-81.36|00:0118141|-82.97|00:0117878|-83|00:0111254|-83.96|00:4778256|588.98|00:4000563|476.84|
|Buffer 262144 Chunk 262144 (115 times)|00:0119025|-82.84|00:0097934|-85.88|00:0090140|-87|00:0099705|-85.62|00:4037865|482.22|00:4000316|476.81|

